County name,Farm per 1000 Cap,Housing Unit Count per Cap,Housing Unit Price,Household Income Mean
Hardin County,36.05633803,0.643661972,472,57155
Henderson County,69.27910053,0.55787037,458,65651
Henry County,26.36112668,0.460966851,574,69912
Iroquois County,59.23197913,0.491732842,553,62439
Jackson County,14.41756424,0.521626346,549,45572
Jasper County,89.85921689,0.46491421,561,71094
Jefferson County,25.75677846,0.461129421,554,61102
Jersey County,21.74940898,0.467328605,622,79104
Jo Daviess County,42.131178,0.623606466,646,74954
Johnson County,42.64264264,0.415765766,520,65203
Kane County,0.976972996,0.364528011,930,100678
Kankakee County,6.935438399,0.42661404,680,68325
Kendall County,2.675122755,0.31972257,974,110474
Knox County,20.19870268,0.488299532,525,53291
Lake County,0.425825629,0.375843998,1060,108917
LaSalle County,15.73945936,0.459802565,597,72281
Lawrence County,22.43091683,0.42956557,413,53438
Lee County,24.71380873,0.44696518,560,68459
Livingston County,40.93286219,0.450318021,623,70796
Logan County,22.63972672,0.435496766,609,64188
McDonough County,24.67931888,0.510014252,535,50434
McHenry County,2.620593178,0.381710918,911,102836
McLean County,8.647693658,0.436569051,692,78329
Macon County,5.658298341,0.493353981,540,62449
Macoupin County,28.13532293,0.480874815,550,68518
Madison County,3.657558257,0.45222172,629,74800
Marion County,24.17871943,0.476960233,503,60839
Marshall County,42.5034626,0.504155125,565,69818
Mason County,46.87873714,0.527385793,537,62127
Massac County,25.68430322,0.500770529,526,62584
Menard County,29.7584218,0.468277188,609,81334
Mercer County,45.12163223,0.476000523,539,71710
Monroe County,15.24207155,0.419371443,721,101635
Montgomery County,34.47401774,0.453666486,500,61863
Morgan County,23.08541296,0.460880495,550,65175
Moultrie County,33.41454925,0.431952663,583,71676
Ogle County,17.89852955,0.440646606,641,79244
Peoria County,5.505761844,0.473150365,615,64938
Perry County,23.62865036,0.45215075,499,59286
Piatt County,23.45441424,0.443829685,583,87516
Pike County,71.39851312,0.511712723,496,58029
Pope County,89.65703484,0.613826627,501,62500
Pulaski County,34.02336544,0.583111293,363,43227
Putnam County,29.46919936,0.544825138,590,77526
Randolph County,24.88044678,0.448115574,465,68870
Richland County,35.67243848,0.479494857,403,60404
Rock Island County,4.00053247,0.467606897,600,66768
St. Clair County,2.958403179,0.459281144,625,70178
Saline County,17.21720845,0.507228599,446,54945
Sangamon County,5.124906738,0.479307417,636,74114
Schuyler County,85.03703704,0.491407407,503,66059
Scott County,54.71311475,0.490368852,497,73013
Shelby County,58.36822121,0.489436277,514,68457
Stark County,65.62974203,0.490136571,486,62284
Stephenson County,23.16190123,0.496077794,579,61943
Tazewell County,6.693832277,0.451883748,649,76704
Union County,35.59161436,0.465533578,498,56420
Vermilion County,14.19008241,0.483644137,464,54537
Wabash County,16.12168686,0.493305401,438,53650
Warren County,40.69803293,0.468520688,561,64650
Washington County,46.91540451,0.472995936,602,75652
Wayne County,56.56705173,0.483362632,520,53107
White County,32.40014931,0.503994028,532,53097
Whiteside County,18.38739777,0.472949485,544,64536
Will County,1.100788475,0.35660466,934,107799
Williamson County,8.394966003,0.476514971,539,65521
Winnebago County,2.434899045,0.440322069,621,64363
Woodford County,26.03813006,0.41120397,703,85629
Adams County,35.67133173,0.362180188,455,63128
Allen County,3.749107803,0.411865914,490,68839
Bartholomew County,5.923932925,0.419124155,494,80365
Benton County,44.05286344,0.426747995,497,61811
Blackford County,18.36492891,0.496191605,433,47560
Boone County,6.588551915,0.368387646,632,104865
Brown County,10.03194888,0.545686901,509,72644
Carroll County,25.88326023,0.459777317,431,64003
Cass County,16.85348385,0.436353471,387,56525
Clark County,3.428015595,0.422453894,505,72298
Clay County,18.39237057,0.440811384,416,67676
Clinton County,15.99027208,0.410275118,449,63690
Crawford County,35.54119548,0.559726314,415,48993
Daviess County,33.43402645,0.374842361,470,68561
Dearborn County,10.10984738,0.407601828,507,82693
Decatur County,20.8924719,0.439763824,441,74228
DeKalb County,18.45251523,0.412361832,428,70080
Delaware County,4.479818682,0.456932652,448,56932
Dubois County,16.96119554,0.428957803,466,71918
Elkhart County,8.720762066,0.386152838,489,65617
Fayette County,12.77051639,0.467109492,441,56659
Floyd County,3.136785832,0.422343191,540,78179
Fountain County,26.13913147,0.464741876,428,62526
Franklin County,29.52109267,0.421377939,483,79702
Fulton County,31.79364127,0.478104379,435,62878
Gibson County,14.43791997,0.446818815,493,67763
Grant County,6.876523519,0.449577177,428,54007
Greene County,25.24103911,0.460168487,465,59753
Hamilton County,1.36158692,0.369732739,711,117957
Hancock County,5.686296588,0.376061254,565,91326
Harrison County,24.76361999,0.421281705,429,72468
Hendricks County,2.853710611,0.358985254,602,99988
Henry County,11.89869807,0.427212159,494,60144
Howard County,5.078375871,0.473287981,438,62496
Huntington County,17.40472066,0.440531615,435,62734
Jackson County,12.80050612,0.405546183,475,70208
Jasper County,18.2106808,0.410578968,422,79634
Jay County,39.72426106,0.441777425,417,54114
Jefferson County,15.58275873,0.438808056,498,59987
Jennings County,16.68234783,0.423065789,459,68476
Johnson County,3.047815537,0.379804705,537,87227
Knox County,12.46097235,0.472931534,424,58863
Kosciusko County,13.37564616,0.478337403,456,73922
LaGrange County,60.16244346,0.365327562,452,83741
Lake County,0.689922558,0.430118003,555,68985
LaPorte County,6.08003736,0.447946977,497,70452
Lawrence County,15.62223402,0.454283944,435,65551
Madison County,5.08113424,0.44012904,453,62632
Marion County,0.172162978,0.447250893,534,63450
Marshall County,16.76566804,0.429558368,504,68041
Martin County,25.243309,0.464618816,344,65345
Miami County,17.21281554,0.419144694,418,61130
Monroe County,2.977924976,0.460903185,545,63372
Montgomery County,16.85087878,0.427976083,478,66571
Morgan County,6.854046732,0.402966475,499,79088
Newton County,26.32510084,0.428773618,533,68596
Noble County,22.31704001,0.422747903,473,70908
Ohio County,20.51367578,0.459472982,544,67942
Orange County,21.43866021,0.458182002,424,64758
Owen County,19.90755572,0.451604046,475,59586
Parke County,39.1325418,0.461897262,425,66776
Perry County,21.58385093,0.442236025,403,61099
Pike County,23.02740178,0.461538462,431,66250
Porter County,2.62708973,0.409996588,582,85828
Posey County,18.43060598,0.442055292,489,79124
Pulaski County,40.81796957,0.469366396,380,59956
Putnam County,19.25722146,0.400698339,457,76182
Randolph County,27.7355467,0.468710194,470,61121
Ripley County,28.58218662,0.424385569,490,71084
Rush County,28.22364103,0.439405692,473,64393
St. Joseph County,1.998217313,0.432261529,459,64885
Scott County,11.43388146,0.435295544,471,54583
Shelby County,12.00332939,0.428790467,469,71301
Spencer County,27.63470681,0.43012084,483,70890
Starke County,16.79239654,0.477943997,452,62933
Steuben County,13.22356721,0.546583673,468,71483
Sullivan County,19.79006163,0.423632512,467,54985
Switzerland County,33.94072887,0.440428514,459,65148
Tippecanoe County,3.715105661,0.413915993,480,58622
Tipton County,27.14695902,0.446097625,446,78309
Union County,28.18128995,0.472109239,529,79500
Vanderburgh County,1.130901894,0.470150288,555,60938
Vermillion County,18.75483372,0.472157773,458,59363
Vigo County,4.370514101,0.442109527,465,52525
Wabash County,20.63229035,0.456607207,422,68414
Warren County,49.81658975,0.43627973,490,74635
Warrick County,5.049819865,0.400473326,562,95027
Washington County,27.62391956,0.429070383,408,61358
Wayne County,10.94714651,0.46315314,428,56652
Wells County,18.29988194,0.416799778,446,69741
White County,23.23521121,0.520517054,452,66143
Whitley County,18.54665329,0.428264297,509,75790
Adair County,100.6593998,0.483784147,567,66176
Adams County,143.0948419,0.524681087,487,68828
Allamakee County,72.89904117,0.544980259,566,66000
Appanoose County,54.10540228,0.521559557,545,51146
Audubon County,106.6163251,0.500898957,492,54152
Benton County,42.2496996,0.430055429,620,84742
Black Hawk County,7.366941699,0.44389035,580,64581
Boone County,37.71184855,0.449137641,663,79741
Bremer County,39.83733418,0.416219204,642,83343
Buchanan County,54.06839338,0.431486037,561,78430
Buena Vista County,37.1829362,0.395897387,541,66564
Butler County,75.09183385,0.464043515,525,69651
Calhoun County,78.77664504,0.493666976,471,66875
Carroll County,52.38398589,0.465918557,535,68528
Cass County,52.82555283,0.491170147,548,61657
Cedar County,50.02468323,0.451867698,617,79080
Cerro Gordo County,18.82663027,0.534911633,563,65537
Cherokee County,69.82329731,0.476496826,484,64478
Chickasaw County,86.09949654,0.473163239,562,73421
Clarke County,68.14363713,0.462095758,667,66821
Clay County,44.31224961,0.494172636,594,64082
Clayton County,96.33217176,0.51922509,566,62326
Clinton County,24.92665435,0.469194828,581,65177
Crawford County,58.06569789,0.418366101,515,65039
Dallas County,7.811484009,0.374491733,740,102349
Davis County,102.3604917,0.391819863,546,79505
Decatur County,86.99059561,0.476880878,578,57146
Delaware County,84.95655631,0.462377193,604,76205
Des Moines County,16.8701674,0.488870376,575,60662
Dickinson County,24.17667144,0.774314352,703,74570
Dubuque County,15.65869289,0.433314524,636,75919
Emmet County,44.09517573,0.493014626,514,65181
Fayette County,71.21971596,0.486842105,565,58764
Floyd County,65.89818763,0.486940299,479,64500
Franklin County,84.69672785,0.464584996,466,63648
Fremont County,70.98860487,0.481983369,532,73750
Greene County,87.62410529,0.498268298,556,59159
Grundy County,54.01047965,0.44248287,576,83617
Guthrie County,83.9056989,0.536662335,544,79981
Hamilton County,51.83091007,0.474959612,550,71750
Hancock County,81.00979653,0.482290882,505,70212
Hardin County,50.95966958,0.487609329,542,64906
Harrison County,55.44920005,0.456652537,559,77027
Henry County,42.92133671,0.436031197,574,64604
Howard County,92.84188034,0.460897436,513,67336
Humboldt County,60.30986794,0.478319642,540,66994
Ida County,66.96035242,0.494126285,451,62841
Iowa County,58.94172806,0.447847531,615,72185
Jackson County,58.32903559,0.478184631,524,71605
Jasper County,30.20442438,0.42532868,590,70128
Jefferson County,43.15315886,0.488372093,597,56824
Johnson County,7.571214393,0.419858821,692,74721
Jones County,46.93123698,0.420628907,569,73071
Keokuk County,88.38153222,0.471841705,547,60856
Kossuth County,93.1426985,0.501110494,546,65656
Lee County,24.83320979,0.488262911,536,59803
Linn County,6.109716002,0.440059199,670,76421
Louisa County,56.16180621,0.445531515,515,80223
Lucas County,67.82370404,0.465517241,523,67921
Lyon County,82.00032315,0.392389724,540,72881
Madison County,66.0217936,0.409708059,686,89542
Mahaska County,39.98366161,0.440591813,535,69019
Marion County,27.81367481,0.419055451,594,78059
Marshall County,22.23212517,0.417409388,573,72785
Mills County,30.64483251,0.415777672,658,87810
Mitchell County,75.05643341,0.461060948,505,68704
Monona County,79.36884565,0.520820975,470,62944
Monroe County,84.09060084,0.494778245,577,72518
Montgomery County,48.3951108,0.497962834,504,63190
Muscatine County,17.61131681,0.437410994,635,69512
O’Brien County,61.71107994,0.458906031,497,68216
Osceola County,92.61100066,0.474983433,519,69138
Page County,42.49235271,0.465221439,482,57752
Palo Alto County,95.58406176,0.51277103,478,68963
Plymouth County,49.75798645,0.420638916,552,81600
Pocahontas County,114.4733086,0.522123894,433,63423
Polk County,1.487838662,0.416548331,698,81621
Pottawattamie County,12.86232078,0.42791006,605,71446
Poweshiek County,42.91752466,0.484772949,592,64837
Ringgold County,132.8125,0.580729167,646,69821
Sac County,90.52764083,0.537291514,483,70991
Scott County,4.048951885,0.444929129,607,76363
Shelby County,73.1748583,0.459267405,555,67690
Sioux County,45.74054823,0.360425672,616,84736
Story County,10.40995922,0.406271342,669,69006
Tama County,63.08997491,0.453757916,575,67955
Taylor County,102.3175966,0.496137339,478,67279
Union County,49.10079465,0.484316186,577,56813
Van Buren County,101.4271858,0.485797423,480,60183
Wapello County,19.11381407,0.441131134,572,60034
Warren County,24.63482598,0.381112117,680,92990
Washington County,51.96412001,0.425876011,654,71339
Wayne County,110.5406222,0.456206584,497,59118
Webster County,24.57395215,0.462028232,537,68054
Winnebago County,52.77858037,0.489261292,527,63719
Winneshiek County,73.97454748,0.456877757,626,75652
Woodbury County,9.370017808,0.402034366,544,70147
Worth County,73.62802792,0.477213631,522,76875
Wright County,57.6636028,0.492261764,527,64033
Allen County,37.66599598,0.489094567,515,57618
Anderson County,66.89428427,0.451315124,619,64925
Atchison County,30.52495538,0.419164256,601,62164
Barber County,96.56019656,0.604668305,491,57615
Barton County,23.15280854,0.498208174,524,56733
Bourbon County,46.17304493,0.46921797,552,67555
Brown County,51.95799606,0.491030409,496,58886
Butler County,20.22904075,0.392940802,674,80375
Chase County,100.5185481,0.557239729,521,54518
Chautauqua County,100.32944,0.590296496,465,54592
Cherokee County,31.7775571,0.477708671,483,58274
Cheyenne County,151.5495087,0.553665911,549,55765
Clark County,140.950347,0.569140416,491,65515
Clay County,56.34333041,0.494415861,599,63136
Cloud County,48.03393328,0.51473117,486,57333
Coffey County,77.58101434,0.480062643,529,67377
Comanche County,121.6056671,0.619834711,488,49417
Cowley County,25.71227988,0.457701983,559,58263
Crawford County,19.61237919,0.464939338,484,50311
Decatur County,123.7113402,0.604933726,510,52030
Dickinson County,43.49927501,0.472208797,594,67982
Doniphan County,44.48844884,0.445544554,627,72833
Douglas County,7.533466132,0.43699022,739,68756
Edwards County,85.3167338,0.567923837,429,53792
Elk County,104.679803,0.616584565,436,56087
Ellis County,22.51180749,0.45668287,595,59889
Ellsworth County,51.77327422,0.492400253,509,66792
Finney County,14.6790426,0.372294937,627,72437
Ford County,15.73139235,0.370920404,558,70495
Franklin County,31.78167701,0.427777566,627,72142
Geary County,6.11974393,0.448884627,617,57344
Gove County,144.0933032,0.501128668,479,63203
Graham County,146.4135021,0.602531646,571,52909
Grant County,41.84866845,0.413132309,643,72484
Gray County,80.97731239,0.408202443,605,77885
Greeley County,247.3958333,0.539930556,474,78819
Greenwood County,83.29075115,0.6271504,455,58276
Hamilton County,143.8906752,0.413987138,595,61929
Harper County,84.42638093,0.55902457,521,55417
Harvey County,20.51007669,0.434605553,606,73269
Haskell County,55.41631857,0.430242272,586,69138
Hodgeman County,262.4028691,0.486551106,518,63125
Jackson County,57.89279113,0.415157116,618,72703
Jefferson County,46.14881082,0.436613572,629,77393
Jewell County,149.3618489,0.607105899,451,52344
Johnson County,0.969513314,0.403810994,837,107261
Kearny County,101.1029412,0.414653361,569,74135
Kingman County,108.8396199,0.52879355,541,59819
Kiowa County,144.499179,0.472085386,525,73214
Labette County,42.7584806,0.482835669,461,55439
Lane County,193.65722,0.597165992,465,53042
Leavenworth County,12.08220149,0.373083737,675,86906
Lincoln County,93.23770492,0.569330601,518,53546
Linn County,71.53744538,0.526369271,598,59200
Logan County,97.62435041,0.509279881,610,71389
Lyon County,25.399754,0.461193112,595,59078
McPherson County,34.54869124,0.432781697,621,77701
Marion County,74.80719794,0.486118252,504,63438
Marshall County,71.15577889,0.478190955,522,70828
Meade County,102.004111,0.480215827,529,74868
Miami County,35.08968296,0.394269245,727,88000
Mitchell County,64.10477339,0.538342237,567,58233
Montgomery County,29.28526872,0.511047638,505,53242
Morris County,69.8996022,0.56658458,485,56716
Morton County,151.3078471,0.529577465,553,65625
Nemaha County,82.88610614,0.447326575,564,77375
Neosho County,39.35185185,0.464699074,494,55704
Ness County,200.6113871,0.563622468,547,66107
Norton County,58.85660731,0.459981256,569,50305
Osage County,54.96600369,0.463430133,586,70216
Osborne County,91.85803758,0.604533254,483,59408
Ottawa County,68.51187425,0.458568256,668,76755
Pawnee County,56.05455755,0.506487026,469,63625
Phillips County,79.86477921,0.59095711,517,61235
Pottawatomie County,30.51049263,0.374944188,616,87694
Pratt County,56.58312356,0.478822371,587,64348
Rawlins County,128.2894737,0.560444079,518,65000
Reno County,25.12333719,0.460931013,553,60498
Republic County,101.8859744,0.579232604,456,53611
Rice County,46.63937958,0.472210254,463,63947
Riley County,5.843681519,0.42275728,662,59560
Rooks County,98.14658804,0.556655434,529,61596
Rush County,166.9039146,0.605338078,457,60288
Russell County,77.03927492,0.55694864,451,53902
Saline County,9.596139097,0.451673245,595,63316
Scott County,53.52055352,0.462148962,539,67788
Sedgwick County,2.393295043,0.421195678,592,67675
Seward County,13.72438428,0.390063922,580,62269
Shawnee County,4.445268683,0.454552607,607,66043
Sheridan County,132.2486441,0.482269504,634,70000
Sherman County,64.3547274,0.506901311,600,64444
Smith County,126.2355267,0.57130754,517,57024
Stafford County,125.3524737,0.539348885,499,63786
Stanton County,108.6431676,0.489618542,492,70361
Stevens County,81.42999007,0.445680238,540,61909
Sumner County,45.3527937,0.465392192,613,60348
Thomas County,58.19020764,0.458856703,603,73575
Trego County,139.5097332,0.603100216,487,73375
Wabaunsee County,86.89538808,0.440804274,604,70536
Wallace County,193.6141304,0.514266304,431,60263
Washington County,115.2189519,0.490129218,527,62452
Wichita County,128.3783784,0.477799228,539,71282
Wilson County,47.9876161,0.534889259,535,57056
Woodson County,77.14561234,0.592092575,464,48152
Wyandotte County,0.944409685,0.404998288,613,60582
Adair County,55.82410728,0.448671968,326,50316
Allen County,41.11267414,0.420247765,409,59029
Anderson County,28.33259655,0.409757666,412,71747
Ballard County,40.25701547,0.486100184,432,64740
Barren County,35.5412309,0.440855971,423,49171
Bath County,48.33603583,0.423056135,358,54128
Bell County,3.340419071,0.50357902,312,32403
Boone County,5.043882471,0.364075346,560,94752
Bourbon County,41.60723946,0.449909015,452,56322
Boyd County,3.914017205,0.454842288,463,60659
Boyle County,15.6399312,0.413104415,486,61635
Bracken County,65.55254796,0.452748029,438,59521
Breathitt County,11.71508903,0.512261793,346,41101
Breckinridge County,58.8567928,0.507044908,368,53673
Bullitt County,4.894990793,0.387193772,510,77640
Butler County,51.62935224,0.434467373,338,52003
Caldwell County,34.9694711,0.482515264,397,57618
Calloway County,21.06478512,0.462706863,434,51854
Campbell County,5.244234533,0.444472811,580,77271
Carlisle County,51.91542809,0.484613774,388,62019
Carroll County,20.3402034,0.421384214,458,57753
Carter County,26.09395356,0.470649092,386,50389
Casey County,61.13619263,0.46407073,310,41689
Christian County,15.42123201,0.412739768,420,54190
Clark County,21.34154434,0.432113185,511,67824
Clay County,9.085340955,0.441098408,343,39607
Clinton County,40.72743112,0.529674398,359,42168
Crittenden County,57.00289468,0.484413271,383,47003
Cumberland County,67.63684472,0.562096908,365,39662
Daviess County,9.324411002,0.423131049,499,65323
Edmonson County,43.68816779,0.507954096,357,54512
Elliott County,42.68208729,0.422001928,399,40074
Estill County,24.92501071,0.489001571,389,43905
Fayette County,2.070198551,0.448401364,578,67631
Fleming County,57.59733179,0.434609711,366,49663
Floyd County,1.76647747,0.506052357,382,41582
Franklin County,10.14454064,0.459212082,476,66470
Fulton County,27.85737026,0.505253104,450,36834
Gallatin County,17.83077797,0.427370812,440,62247
Garrard County,35.86474501,0.403104213,434,62572
Grant County,30.59637664,0.395847912,476,67940
Graves County,30.66185057,0.446402868,409,50576
Grayson County,47.39564093,0.492648689,405,49893
Green County,78.08171745,0.458102493,330,41087
Greenup County,13.46639072,0.460607263,480,59613
Hancock County,36.3918784,0.43392877,414,66836
Hardin County,11.12332264,0.419850035,424,67608
Harlan County,1.47692799,0.519399649,342,37198
Harrison County,53.8284251,0.416696543,394,63205
Hart County,64.39793204,0.446117553,391,49653
Henderson County,9.915110357,0.455212224,479,58239
Henry County,44.38819607,0.41227312,459,60736
Hickman County,51.44548145,0.491691327,340,63750
Hopkins County,13.77769915,0.463642797,421,57610
Jackson County,34.43629286,0.449094176,321,41410
Jefferson County,0.332543542,0.450852206,586,67849
Jessamine County,10.95672183,0.370581467,558,74886
Johnson County,9.00533985,0.476513712,387,43014
Kenton County,2.590614313,0.416877309,545,79421
Knott County,3.646375949,0.49821402,313,37736
Knox County,9.879623698,0.466129413,363,33153
LaRue County,46.33791645,0.432443152,387,67770
Laurel County,13.74836235,0.421527,365,56999
Lawrence County,16.14128371,0.479491075,379,45584
Lee County,17.36633393,0.441268973,381,34182
Leslie County,2.364066194,0.504985096,334,40176
Letcher County,3.52549779,0.526043994,371,40501
Lewis County,37.98058252,0.47161165,296,41632
Lincoln County,39.50220795,0.436330791,357,50862
Livingston County,40.83947816,0.523766307,413,59713
Logan County,35.72557698,0.437664664,424,61535
Lyon County,17.40471469,0.529411765,409,64464
McCracken County,5.018504811,0.476017765,484,62385
McCreary County,10.16405136,0.411257727,277,37355
McLean County,37.9136533,0.457045803,472,70549
Madison County,11.68885943,0.40087566,457,62407
Magoffin County,28.42237813,0.491635186,385,33632
Marion County,48.10840764,0.424512619,405,55404
Marshall County,24.79989916,0.518718094,455,63611
Martin County,1.963350785,0.45316006,376,46185
Mason County,31.90610993,0.482778957,407,51473
Meade County,24.01287695,0.397838513,463,70163
Menifee County,33.59091626,0.53414288,345,44672
Mercer County,41.59047417,0.442696151,442,63115
Metcalfe County,75.67721159,0.446959651,374,48572
Monroe County,60.37803458,0.469407865,384,49430
Montgomery County,18.35181259,0.424177123,435,57468
Morgan County,39.16083916,0.395104895,359,47493
Muhlenberg County,19.1072365,0.443530414,396,52672
Nelson County,25.47940705,0.411899971,455,67888
Nicholas County,59.74923234,0.426432958,429,53616
Ohio County,31.17035056,0.426147996,379,54369
Oldham County,5.813541297,0.333385324,682,121491
Owen County,58.94184521,0.47031045,413,59706
Owsley County,21.38492872,0.515274949,317,31064
Pendleton County,59.1484775,0.423403395,441,66601
Perry County,1.98212349,0.495755264,378,45261
Pike County,1.190690962,0.522370557,410,42179
Powell County,12.76299505,0.434637995,372,39811
Pulaski County,23.93704557,0.473848778,372,50943
Robertson County,68.42989085,0.41813602,369,52337
Rockcastle County,36.05324787,0.4546407,332,48367
Rowan County,11.22593718,0.428652482,413,53657
Russell County,34.61913533,0.549680355,334,50520
Scott County,12.65802269,0.378200972,485,83660
Shelby County,26.93320565,0.383369244,549,82671
Simpson County,19.65601966,0.415528256,488,57392
Spencer County,27.75776785,0.364933007,500,98333
Taylor County,24.73050095,0.417993957,432,61871
Todd County,43.19197303,0.404483813,394,57759
Trigg County,27.88653067,0.523731025,472,54630
Trimble County,45.74554767,0.450471424,425,67813
Union County,22.00637426,0.445287601,411,60989
Warren County,10.34231019,0.395867132,496,64801
Washington County,81.34322276,0.42562556,401,59762
Wayne County,36.06908146,0.516786387,311,41933
Webster County,39.05399098,0.44562004,393,58786
Whitley County,12.78435796,0.417855129,334,41719
Wolfe County,38.18353237,0.478158391,328,29052
Woodford County,24.81246394,0.417880842,565,80006
Acadia Parish,13.32061338,0.442300897,342,45266
Allen Parish,15.82151904,0.424114484,332,51138
Ascension Parish,1.984513307,0.381708029,413,92266
Assumption Parish,3.591022444,0.500698254,385,52546
Avoyelles Parish,22.6200714,0.477497199,352,39439
Beauregard Parish,20.62951356,0.435154653,338,64995
Bienville Parish,12.08507896,0.553818885,293,34992
Bossier Parish,3.5239737,0.4280789,413,66336
Caddo Parish,2.619023269,0.500540257,420,50067
Calcasieu Parish,3.804487071,0.4566448,406,67849
Caldwell Parish,25.65740445,0.494410731,357,44957
Cameron Parish,49.16631039,0.736853356,469,72500
Catahoula Parish,51.57004831,0.537077295,382,47753
Claiborne Parish,17.06434217,0.50387826,266,31784
Concordia Parish,20.95858853,0.507164129,370,37349
De Soto Parish,23.17225196,0.460511843,349,46077
East Baton Rouge Parish,0.960218268,0.453660087,501,63075
East Carroll Parish,39.61114335,0.494486361,298,28321
East Feliciana Parish,23.23147761,0.42753244,428,72899
Evangeline Parish,17.79807844,0.457489368,380,42273
Franklin Parish,39.09561941,0.467734338,347,44103
Grant Parish,9.046089828,0.409516486,360,61112
Iberia Parish,4.545454545,0.462170566,396,57811
Iberville Parish,5.240878855,0.450816368,342,57459
Jackson Parish,12.63769683,0.488139488,319,43345
Jefferson Parish,0.046810672,0.454318636,503,65246
Jefferson Davis Parish,19.78623235,0.448753022,340,56500
Lafayette Parish,1.974504506,0.43423366,458,67660
Lafourche Parish,3.555620818,0.43175096,365,63439
LaSalle Parish,13.87566318,0.421915386,368,67077
Lincoln Parish,6.736728645,0.428041374,379,38035
Livingston Parish,2.629410149,0.385247832,373,78617
Madison Parish,24.85428351,0.482569009,375,37267
Morehouse Parish,13.66292513,0.50006306,360,36981
Natchitoches Parish,13.00650325,0.518676005,372,46798
Orleans Parish,0.132340413,0.53696571,671,55339
Ouachita Parish,2.711022714,0.447616454,427,51241
Plaquemines Parish,5.069765355,0.431827359,425,82874
Pointe Coupee Parish,24.43940539,0.556512976,356,59351
Rapides Parish,5.988927632,0.463236404,389,55946
Red River Parish,28.4609008,0.497236806,329,44539
Richland Parish,28.30524869,0.442804052,363,52960
Sabine Parish,17.566449,0.626230111,370,52047
St. Bernard Parish,1.116495099,0.402027555,365,57638
St. Charles Parish,0.873015873,0.408630952,511,82172
St. Helena Parish,32.1451598,0.489085383,320,50193
St. James Parish,3.192046049,0.452694924,425,64536
St. John the Baptist Parish,0.503854487,0.448178566,408,67418
St. Landry Parish,13.4414918,0.457542445,317,45637
St. Martin Parish,7.380217892,0.462806045,334,53394
St. Mary Parish,1.602598346,0.480993184,391,51768
St. Tammany Parish,3.043783657,0.404927688,569,79277
Tangipahoa Parish,5.835949736,0.419551862,381,57256
Tensas Parish,64.25598335,0.729448491,396,36074
Terrebonne Parish,1.319032581,0.454787029,388,64819
Union Parish,20.08051608,0.505214144,337,45743
Vermilion Parish,19.30917229,0.44974931,334,57537
Vernon Parish,9.362928043,0.481743382,329,58281
Washington Parish,18.07496119,0.475094256,325,42776
Webster Parish,9.834015462,0.521288085,343,37396
West Baton Rouge Parish,3.940193492,0.416077397,423,87320
West Carroll Parish,55.86773287,0.506915928,313,48514
West Feliciana Parish,6.268558232,0.33830419,424,74277
Winn Parish,10.66766132,0.475345021,350,46368
Androscoggin County,3.339926435,0.435509057,634,67298
Aroostook County,10.782317,0.575715826,465,54254
Cumberland County,2.093630202,0.482838287,816,92983
Franklin County,10.87308265,0.682447738,498,58522
Hancock County,7.270045306,0.711445931,555,69630
Kennebec County,4.429359884,0.491511042,573,65062
Knox County,6.612820575,0.596081111,702,71903
Lincoln County,8.385629333,0.652489655,659,72026
Oxford County,7.711654092,0.608904212,519,57933
Penobscot County,3.417495537,0.480776588,550,63248
Piscataquis County,9.981642955,0.84046581,476,55234
Sagadahoc County,4.736309936,0.508461498,684,82080
Somerset County,10.28477931,0.584537769,483,56199
Waldo County,11.54688923,0.544550311,576,68441
Washington County,10.86575535,0.691552751,498,52237
York County,3.129783822,0.517177471,710,82904
Allegany County,4.024024919,0.488993547,471,57393
Anne Arundel County,0.753714618,0.389877978,708,120324
Baltimore County,0.918555885,0.410940552,691,90904
Calvert County,3.002749887,0.378873284,718,132059
Caroline County,15.3293623,0.394650783,598,66368
Carroll County,6.662601351,0.373596901,660,115876
Cecil County,5.408964771,0.415399088,633,91146
Charles County,2.126342576,0.361380804,739,120592
Dorchester County,11.04472207,0.495382944,614,60495
Frederick County,4.56706435,0.355743242,695,120458
Garrett County,23.94956503,0.653928785,435,69031
Harford County,2.308729483,0.393233502,671,111317
Howard County,1.015697681,0.366501996,991,146982
Kent County,20.24850437,0.527995091,730,74402
Montgomery County,0.538681091,0.374329767,953,128733
Prince George’s County,0.394153289,0.374952541,802,100708
Queen Anne’s County,9.406198778,0.404243034,797,113347
St. Mary’s County,5.632400038,0.395624587,655,114580
Somerset County,9.666811933,0.43247098,506,52462
Talbot County,9.334797615,0.514355193,696,84378
Washington County,5.527005368,0.406829572,527,74157
Wicomico County,3.611432441,0.413104609,571,72861
Worcester County,6.64372343,1.041371441,677,81455
Barnstable County,1.500623468,0.712305972,893,94452
Berkshire County,3.658934481,0.542710874,767,72565
Bristol County,0.861376197,0.414829942,860,84198
Dukes County,3.133754333,0.841033189,1322,102348
Essex County,0.535234447,0.3986465,1063,99431
Franklin County,10.34273539,0.48572759,791,72584
Hampden County,1.057845399,0.424883282,792,70535
Hampshire County,4.341017781,0.401997594,884,86391
Middlesex County,0.369692191,0.395944531,1164,126779
Nantucket County,1.158827539,0.84860259,1199,119750
Norfolk County,0.287544853,0.39610991,1181,126497
Plymouth County,1.492372115,0.399664262,1040,109698
